Image_Target	Image_Distractor	Location_Target	Location_Distractor	targetv	distractorv	List	Condition	Blocks	Pair_num	Sound	CS_Onset	Crit_period	Frame_duration	Target_Syl	Distractor_Syl	Target_Freq	Distractor_Freq	Target_RT	Distractor_RT	Status	Status_1	gender_sp_values	cognate	random
stove.jpg	jacket.jpg	"(1564, 540)"	"(355, 540)"	estufa	chamarra	3	S	11	0	elige_el_dibujo_de_una_estufa.wav	816	1047	1863	0	0	0	0	0	0	fill	r	f	NA	0.904544302
broom.jpg	road.jpg	"(588, 816)"	"(588, 263)"	escoba	carretera	3	S_LT	11	13	encuentra_el_dibujo_de_una_escoba.wav	924	970	1894	3	4	2.303	4.394	888	1070	exp	r	f	NA	0.88134952
squirrel.jpg	ladder.jpg	"(959, 189)"	"(1564, 540)"	squirrel	ladder	3	CS	12	0	encuentra_el_drawing_of_a_squirrel.wav	927	841	1768	0	0	0	0	0	0	fill	r	f	NA	0.94444126
boat.jpg	diaper.jpg	"(1564, 540)"	"(959, 189)"	boat	diaper	3	CS_HT	12	20	elige_el_drawing_of_a_boat.wav	897	829	1726	1	2	4.344	1.099	982	1248	exp	r	m	NA	0.978800484
bag.jpg	mousetrap.jpg	"(1564, 540)"	"(959, 890)"	bag	mousetrap	3	CS_HT	12	19	elige_el_drawing_of_a_bag.wav	897	829	1726	1	2	4.394	0.693	951	1269	exp	r	f	NA	0.992792169
butter.jpg	anvil.jpg	"(355, 540)"	"(1564, 540)"	mantequilla	cartera	3	S	12	0	encuentra_el_dibujo_de_mantequilla.wav	924	640	1564	0	0	0	0	0	0	fill	r	f	NA	0.533064728
lizard.jpg	slipper.jpg	"(355, 540)"	"(1564, 540)"	lagartija	pantunfla	3	S	12	0	encuentra_el_dibujo_de_una_lagartija.wav	924	970	1894	0	0	0	0	0	0	fill	r	f	NA	0.630980994
policeman.jpg	bat.jpg	"(355, 540)"	"(959, 189)"	policia	murcielago	3	S	12	0	encuentra_el_dibujo_de_un_policia.wav	940	927	1867	0	0	0	0	0	0	fill	r	m	NA	0.950466106
317bird.jpg	needle.jpg	"(1564, 540)"	"(959, 890)"	paloma	aguja	3	S	12	0	elige_el_dibujo_de_una_paloma.wav	816	1047	1863	0	0	0	0	0	0	fill	r	f	NA	0.992481053
block.jpg	tractor.jpg	"(355, 540)"	"(1564, 540)"	cubo	tractor	3	S	12	0	elige_el_dibujo_de_un_cubo.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.99407542
skateboard.jpg	wine.jpg	"(1331, 816)"	"(1331, 263)"	patineta	wine	4	A	0	0	elige_el_dibujo_de_una_patineta.wav	816	1047	1863	0	0	0	0	0	0	prac	p	p	NA	0.009208258
dentist.jpg	seahorse.jpg	"(1331, 263)"	"(1331, 816)"	dentist	seahorse	4	A	0	0	encuentra_el_drawing_of_a_dentist.wav	927	841	1768	0	0	0	0	0	0	prac	p	p	NA	0.028464919
mixer.jpg	paperclip.jpg	"(588, 263)"	"(959, 890)"	batidora	paperclip	4	A	0	0	elige_el_dibujo_de_una_batidora.wav	816	1047	1863	0	0	0	0	0	0	prac	p	p	NA	0.103481242
waffle.jpg	acorn.jpg	"(1331, 816)"	"(355, 540)"	waffle	acorn	4	A	0	0	encuentra_el_drawing_of_a_waffle.wav	927	841	1768	0	0	0	0	0	0	prac	p	p	NA	0.281920437
woman.jpg	safe.jpg	"(588, 816)"	"(1331, 816)"	mujer	safe	4	A	0	0	elige_el_dibujo_de_una_mujer.wav	816	1047	1863	0	0	0	0	0	0	prac	p	p	NA	0.385098098
tripod.jpg	plug.jpg	"(588, 816)"	"(1331, 816)"	tripie	plug	4	A	0	0	encuentra_el_dibujo_de_un_tripie.wav	940	927	1867	0	0	0	0	0	0	prac	p	p	NA	0.466480718
volcano.jpg	saddle.jpg	"(1331, 816)"	"(1331, 263)"	volcan	saddle	4	A	0	0	encuentra_el_dibujo_de_un_volcan.wav	940	927	1867	0	0	0	0	0	0	prac	p	p	NA	0.485887805
pirate.jpg	refrigerator.jpg	"(355, 540)"	"(1331, 816)"	pirate	refrigerator	4	A	0	0	elige_el_drawing_of_a_piratee.wav	897	829	1726	0	0	0	0	0	0	prac	p	p	NA	0.703517932
